x,y,z
0,0,0
1.35606e-05,6.04297e-05,3.69952e-05
0.000207624,0.000886475,0.000547049
0.00100486,0.00410434,0.0025546
0.00303315,0.0118322,0.00743268
0.00706507,0.0262761,0.0166706
0.0139623,0.0494149,0.0316886
0.0246248,0.0827662,0.0536955
0.0399448,0.127227,0.083586
0.060766,0.182981,0.121874
0.0878472,0.249464,0.168656
0.121831,0.325381,0.223606
0.163219,0.40877,0.285994
0.212347,0.497099,0.354723
0.269374,0.587395,0.428384
0.334265,0.676395,0.50533
0.406791,0.760707,0.583749
0.486521,0.836987,0.661754
0.572833,0.902103,0.737468
0.664917,0.953307,0.809112
0.761793,0.988373,0.875083
0.862329,1.00573,0.93403
0.965265,1.00456,0.984911
1.10401,0.974205,1.03911
1.20715,0.931097,1.06913
1.30799,0.872497,1.09024
1.40511,0.800878,1.10299
1.49718,0.719233,1.10821
1.58301,0.630913,1.10696
1.66156,0.539442,1.1005
1.732,0.448327,1.09017
1.79377,0.360874,1.07732
1.84656,0.280003,1.06328
1.89035,0.208093,1.04922
1.9254,0.146848,1.03612
1.95228,0.0972036,1.02474
1.97182,0.0592838,1.01555
1.98505,0.032409,1.00873
1.9932,0.0151734,1.00419
1.99756,0.0055963,1.00158
1.99942,0.00135766,1.00039
1.99995,0.000127866,1.00004
2,7.77645e-08,1
